avg_context_surprisal_gap,avg_first_token_surprisal,dataset,lm_cc,lm_cc_density,loc,num_functions,num_semantic_units,ppl,total_tokens,uid
0.05179893109905919,6.082347512245178,humaneval,15.399999999999999,11.666591014713049,14,2,14,1.7902873454541772,163,HumanEval_107
0.0034219525066543034,6.886172294616699,humaneval,12.2,3.657770484685898,9,2,10,2.9947249596759136,116,HumanEval_108
-0.034222503273831834,8.425043106079102,humaneval,15.799999999999999,33.37429189682007,14,1,13,2.8686128475592136,128,HumanEval_109
0.029450413069894744,1.78778076171875,humaneval,16.4,27.501742001622915,15,1,15,2.101383045017236,98,HumanEval_110
0.03693369779752435,1.78778076171875,humaneval,18.6,48.71719143539667,17,1,16,2.644996891426937,120,HumanEval_111
-0.023821135620088425,8.439016342163086,humaneval,4.2,1.1473772525787354,4,1,5,5.238689314066475,49,HumanEval_112
-0.0640097939880094,8.425043106079102,humaneval,8.8,13.869761645793915,7,1,8,6.640487849296168,97,HumanEval_113
0.1192146990182766,1.78778076171875,humaneval,18.0,20.857276171445847,15,1,16,2.6063443371918025,115,HumanEval_114
0.36992210342238346,0.9352821707725525,humaneval,4.0,6.563817024230957,6,1,7,6.9243935385080295,41,HumanEval_115
0.0865820546168834,1.780746340751648,humaneval,2.8,4.655378818511963,5,1,6,4.089307686672371,40,HumanEval_116
0.030018946410701523,1.78778076171875,humaneval,12.2,28.141177032142878,13,1,12,2.0846652597341815,114,HumanEval_117
0.04187861383011524,1.78778076171875,humaneval,14.0,42.69321820139885,13,1,14,1.927846912907359,147,HumanEval_118
0.12001008133654698,2.8456469774246216,humaneval,15.799999999999997,14.61061991378665,18,2,15,2.236489978687222,138,HumanEval_119
0.05823056081410598,1.780746340751648,humaneval,8.6,10.936046376824379,9,1,10,3.7262322106659913,45,HumanEval_120
0.08789900331632108,1.780746340751648,humaneval,2.8,6.8078999519348145,5,1,6,3.4818500305666564,45,HumanEval_121
-0.05499275804807743,8.439016342163086,humaneval,2.8,6.122804164886475,3,1,4,7.3417796826767345,39,HumanEval_122
-0.059163850303976084,8.425043106079102,humaneval,19.4,29.988816514611244,16,1,15,2.445859005577046,124,HumanEval_123
