avg_context_surprisal_gap,avg_first_token_surprisal,dataset,lm_cc,lm_cc_density,loc,num_functions,num_semantic_units,ppl,total_tokens,uid,pass_at_1
-0.1114095342133871,8.439016342163086,humaneval,7.199999999999999,13.763442248106005,7,1,7,4.01313826199985,50,HumanEval_133,1.0
0.0914597670453076,1.780746340751648,humaneval,5.8,3.3246986865997314,8,1,7,3.846292155067196,72,HumanEval_134,1.0
0.1768913899777236,1.780746340751648,humaneval,10.4,14.647511914372444,11,1,10,2.6398551536001023,67,HumanEval_135,1.0
-0.094001509052452,8.439016342163086,humaneval,5.6,5.67774772644043,5,1,6,2.700710380891638,77,HumanEval_136,1.0
-0.0025804466536514,8.425043106079102,humaneval,6.999999999999999,21.389518916606903,7,1,7,2.3248426046736945,117,HumanEval_137,1.0
-0.1194589118024817,8.439016342163086,humaneval,2.8,5.540294647216797,3,1,4,9.922125182113772,33,HumanEval_138,1.0
-0.0189054027947856,8.439016342163086,humaneval,5.6,5.2302878350019455,8,1,6,2.626690661553195,67,HumanEval_139,1.0
0.0230906907131491,1.7888953685760498,humaneval,14.2,41.99485856294632,24,1,12,1.776307118815739,197,HumanEval_140,1.0
0.0466067787993773,1.7888953685760498,humaneval,15.6,24.729878090322018,18,1,14,2.3976155327620137,159,HumanEval_141,1.0
0.0111928879638377,1.78778076171875,humaneval,9.4,38.78844545036554,13,1,9,1.9634595219424704,109,HumanEval_142,1.0
-0.042343206935547,8.425043106079102,humaneval,16.199999999999996,59.87166695669293,13,1,12,2.397645564244855,129,HumanEval_143,1.0
0.1275586686239974,1.78778076171875,humaneval,10.0,13.347184389829636,11,1,10,2.897137528982661,91,HumanEval_144,1.0
0.0918214388663362,2.8149670362472534,humaneval,9.0,2.86559971421957,12,2,9,2.8448548865258,105,HumanEval_145,1.0
-0.0410283009590688,8.425043106079102,humaneval,12.599999999999998,31.902919247746468,12,1,10,2.883192845759446,120,HumanEval_146,1.0
0.0007599554268918,8.425043106079102,humaneval,13.2,43.3194500990212,10,1,10,2.231532731672094,128,HumanEval_147,1.0
-0.0079274258782311,8.430657386779785,humaneval,10.2,32.45047137886286,11,1,9,1.7740343683702804,187,HumanEval_148,1.0
-0.0614146574669016,8.439016342163086,humaneval,10.4,22.67295137047768,8,1,9,3.308506976319888,71,HumanEval_149,1.0
0.0793057127443493,1.780746340751648,humaneval,9.4,37.51819311082363,12,1,9,2.634418557176736,69,HumanEval_150,1.0
0.0791090566907887,1.780746340751648,humaneval,4.4,5.48817253112793,6,1,6,5.744099082583527,54,HumanEval_151,1.0
-0.0295295421810199,8.439016342163086,humaneval,2.8,7.477048873901367,3,1,4,5.804125098585391,36,HumanEval_152,1.0
-0.0301472717603645,8.430657386779785,humaneval,8.6,20.55635252594948,13,1,9,2.4607336494521084,171,HumanEval_153,1.0
0.0895146258183788,1.78778076171875,humaneval,9.0,28.847063660621643,11,1,9,2.867073050798868,91,HumanEval_154,1.0
-0.050217028053549,8.425043106079102,humaneval,5.6,18.77103327214718,10,1,6,2.207062882458364,84,HumanEval_155,1.0
-0.0078017519785766,8.430657386779785,humaneval,13.0,13.42715620994568,16,1,11,1.812809466442524,202,HumanEval_156,1.0
-0.1052733972947131,8.439016342163086,humaneval,2.8,4.980001449584961,3,1,4,2.7379302398288594,57,HumanEval_157,1.0
0.1233972262651209,1.780746340751648,humaneval,2.8,2.152388572692871,5,1,5,4.137155781480859,39,HumanEval_158,1.0
-0.0843100929209454,8.439016342163086,humaneval,6.0,17.16178348660469,6,1,6,6.442823952626305,50,HumanEval_159,1.0
0.0339544568729076,1.780746340751648,humaneval,7.199999999999999,13.92031466960907,8,1,8,3.4741463173630978,70,HumanEval_160,1.0
0.0324307236537013,1.78778076171875,humaneval,12.0,29.30448051542044,18,1,11,2.4490415412613915,123,HumanEval_161,0.8
-0.0647910092171514,8.439016342163086,humaneval,4.2,2.1511048078536987,4,1,5,3.686103905867051,46,HumanEval_162,1.0
-0.0624960326567816,8.439016342163086,humaneval,5.6,4.998085021972656,6,1,6,3.2436615983137216,70,HumanEval_163,1.0
,,xcodeeval_apr,29.0,0.0,35,0,26,2.315087465424836,328,0a847d657fa59c50893184da6b9e02d2,0.0
0.1493920074117177,4.833271145820618,xcodeeval_apr,26.6,16.31157374754548,33,2,23,2.3511425100978984,250,0a4af5403bfb848d37aff50dbeefd085,0.0
,,xcodeeval_apr,27.2,0.0,31,0,21,2.442964213965885,302,0a9a248623cccedd9e3532b2f1abf9f9,0.0
,,xcodeeval_apr,26.2,0.0,38,0,21,1.3662604649864678,865,0a259a386930adfffdd7990a4b7e2450,1.0
,,xcodeeval_apr,19.0,0.0,37,0,16,1.6512780960971811,346,0ab1e2ed5574bd0349b31b93bccf983c,1.0
,,xcodeeval_apr,29.2,0.0,45,0,27,2.002985757049854,326,0c4e8ea1b73ad99ef27d3b3af7409b15,0.0
0.3862236195011787,0.7503709197044373,xcodeeval_apr,40.4,47.894183713942766,45,1,33,2.1540069029002518,371,0c2a4ce963877f827ffec3ac13c850df,0.19999999999999996
0.4100532797774835,0.8260648731916262,xcodeeval_apr,30.2,5.346539419881689,105,9,29,1.275425522232864,978,0cc18af88d3b9ee747c5c33380c88a1a,0.0
,,xcodeeval_apr,24.2,0.0,70,0,24,1.299196003968621,968,0cb83a2555716028834a6f3f2c4939fd,0.0
0.3046559133224556,0.2924017055435115,xcodeeval_apr,59.8,1.7563861255766824,99,7,55,1.715453797810608,1076,0f2e072d7046b8ca609211c9046f550d,0.0
0.5656540293445453,0.5096818599849939,xcodeeval_apr,99.8,4.463679908050431,166,10,98,2.376653539628487,1542,0f71c4368a228f47e3b753015a08f619,0.0
0.4669391209456331,1.770892612636089,xcodeeval_apr,39.8,5.226560684852302,51,4,39,1.918139410068489,498,1a0dace4675eb7d5f4a21814c0c6c1df,1.0
